,name,pp_percentage,c3
0,bashate,0.0,2.05
1,cookiecutter,0.0,1.93
2,devstack,0.0,77.98
3,devstack-plugin-cookiecutter,0.0,0.1
4,devstack-vagrant,0.39,1.31
5,grenade,0.0,6.7
6,hacking,0.0,7.38
7,heat-cfnclient,0.0,0.5
8,openstack-nose,0.0,0.37
9,oslo-cookiecutter,0.0,2.07
10,pbr,0.0,9.24
11,specs-cookiecutter,0.0,0.44
12,activity-board,0.0,4.79
13,bugdaystats,0.0,0.19
14,devstack-gate,0.0,14.5
15,logstash-filters,0.0,0.6
16,nose-html-output,0.0,0.23
17,openstack-zuul-jobs,0.0,30.85
18,openstack-zuul-roles,0.0,1.21
19,os-loganalyze,0.0,1.88
20,project-config,0.0,266.35
21,release-tools,0.0,6.6
22,releasestatus,0.0,0.27
23,requestsexceptions,0.0,0.32
24,reviewday,0.0,1.21
25,reviewstats,0.0,5.3
26,shade,0.0,33.94
27,tripleo-ci,0.0,40.78
28,zuul-packaging,0.0,0.23
29,adjutant,0.0,4.95
30,adjutant-ui,0.0,1.52
31,anchor,0.0,7.9
32,ansible-config_template,0.0,5.27
33,ansible-hardening,0.0,12.14
34,ansible-role-atos-hsm,0.0,0.28
35,ansible-role-chrony,0.0,0.71
36,ansible-role-container-registry,0.0,1.65
37,ansible-role-k8s-cinder,0.0,0.69
38,ansible-role-k8s-cookiecutter,0.0,0.26
39,ansible-role-k8s-glance,0.0,0.67
40,ansible-role-k8s-keystone,0.0,1.08
41,ansible-role-k8s-mariadb,0.0,1.92
42,ansible-role-k8s-rabbitmq,0.0,0.14
43,ansible-role-k8s-tripleo,0.0,0.86
44,ansible-role-openstack-operations,0.0,1.27
45,ansible-role-python_venv_build,0.0,4.15
46,ansible-role-qdrouterd,0.0,0.94
47,ansible-role-redhat-subscription,0.0,1.13
48,ansible-role-systemd_mount,0.0,2.15
49,ansible-role-systemd_networkd,0.0,2.59
50,ansible-role-systemd_service,0.0,2.32
51,ansible-role-thales-hsm,0.0,0.49
52,ansible-role-tripleo-aodh,0.0,0.36
53,ansible-role-tripleo-barbican,0.0,0.36
54,ansible-role-tripleo-ceilometer,0.0,0.36
55,ansible-role-tripleo-cinder,0.0,0.36
56,ansible-role-tripleo-cookiecutter,0.0,1.04
57,ansible-role-tripleo-designate,0.0,0.36
58,ansible-role-tripleo-glance,0.0,0.36
59,ansible-role-tripleo-gnocchi,0.0,0.36
60,ansible-role-tripleo-haproxy,0.0,0.36
61,ansible-role-tripleo-heat,0.0,0.36
62,ansible-role-tripleo-horizon,0.0,0.36
63,ansible-role-tripleo-ironic,0.0,0.36
64,ansible-role-tripleo-keepalived,0.0,0.36
65,ansible-role-tripleo-keystone,0.0,0.45
66,ansible-role-tripleo-manila,0.0,0.36
67,ansible-role-tripleo-memcached,0.0,0.36
68,ansible-role-tripleo-mistral,0.0,0.36
69,ansible-role-tripleo-modify-image,0.0,2.81
70,ansible-role-tripleo-neutron,0.0,0.36
71,ansible-role-tripleo-nova,0.0,0.36
72,ansible-role-tripleo-octavia,0.0,0.4
73,ansible-role-tripleo-opendaylight,0.0,0.36
74,ansible-role-tripleo-ovn,0.0,0.36
75,ansible-role-tripleo-panko,0.0,0.36
76,ansible-role-tripleo-qdrouterd,0.0,0.16
77,ansible-role-tripleo-rabbitmq,0.0,0.36
78,ansible-role-tripleo-rsyslog-sidecar,0.0,0.36
79,ansible-role-tripleo-sahara,0.0,0.36
80,ansible-role-tripleo-sensu,0.0,0.36
81,ansible-role-tripleo-swift,0.0,0.36
82,ansible-role-tripleo-tacker,0.0,0.36
83,ansible-role-tripleo-tempest,0.0,0.4
84,ansible-role-tripleo-ui,0.0,0.4
85,ansible-role-tripleo-zaqar,0.0,0.36
86,aodh,0.0,40.52
87,api-sig,0.0,3.21
88,api-site,0.0,42.16
89,app-catalog,0.0,14.24
90,app-catalog-common,0.0,0.12
91,app-catalog-ui,0.0,1.97
92,arch-design,0.0,0.35
93,arch-wg,0.0,0.18
94,astara,0.0,14.23
95,astara-appliance,0.0,6.38
96,astara-horizon,0.0,0.73
97,astara-neutron,0.0,5.24
98,automaton,0.0,2.66
99,bandit,0.0,16.1
100,barbican,0.0,29.91
101,barbican-specs,0.0,1.63
102,barbican-tempest-plugin,0.0,2.51
103,bifrost,0.0,27.38
104,blazar,0.0,9.55
105,blazar-dashboard,0.0,2.59
106,blazar-nova,0.0,1.2
107,blazar-specs,0.0,0.66
108,blazar-tempest-plugin,0.0,1.53
109,castellan,0.0,4.66
110,castellan-ui,0.0,1.04
111,ceilometer,0.0,56.27
112,ceilometer-powervm,0.0,2.34
113,ceilometermiddleware,0.0,1.8
114,charm-aodh,0.0,2.61
115,charm-barbican,0.0,2.51
116,charm-barbican-softhsm,0.0,1.54
117,charm-barbican-vault,0.0,2.13
118,charm-ceilometer,0.0,5.27
119,charm-ceilometer-agent,0.0,2.77
120,charm-ceph,0.0,6.31
121,charm-ceph-fs,0.0,1.83
122,charm-ceph-mon,0.0,7.35
123,charm-ceph-osd,0.0,5.41
124,charm-ceph-proxy,0.0,4.95
125,charm-ceph-radosgw,0.0,4.17
126,charm-ceph-rbd-mirror,0.0,2.17
127,charm-cinder,0.0,8.94
128,charm-cinder-backup,0.0,1.52
129,charm-cinder-ceph,0.0,2.97
130,charm-cloudkitty,0.0,0.04
131,charm-deployment-guide,0.0,7.97
132,charm-designate,0.0,3.76
133,charm-designate-bind,0.0,2.05
134,charm-glance,0.0,9.26
135,charm-glance-simplestreams-sync,0.0,2.64
136,charm-glusterfs,0.0,0.48
137,charm-gnocchi,0.0,3.35
138,charm-guide,0.0,8.52
139,charm-hacluster,0.0,4.06
140,charm-heat,0.0,3.75
141,charm-interface-barbican-secrets,0.0,0.28
142,charm-interface-bgp,0.0,0.7
143,charm-interface-bind-rndc,0.0,0.31
144,charm-interface-ceph-client,0.0,0.47
145,charm-interface-ceph-mds,0.0,0.78
146,charm-interface-ceph-rbd-mirror,0.0,0.57
147,charm-interface-cinder-backend,0.0,0.33
148,charm-interface-dashboard-plugin,0.0,0.29
149,charm-interface-designate,0.0,0.16
150,charm-interface-gnocchi,0.0,0.25
151,charm-interface-hacluster,0.0,0.85
152,charm-interface-keystone,0.0,0.5
153,charm-interface-keystone-admin,0.0,0.35
154,charm-interface-keystone-credentials,0.0,0.24
155,charm-interface-keystone-domain-backend,0.0,0.24
156,charm-interface-manila-plugin,0.0,0.31
157,charm-interface-mysql-shared,0.0,0.3
158,charm-interface-neutron-load-balancer,0.0,0.24
159,charm-interface-neutron-plugin,0.0,0.19
160,charm-interface-neutron-plugin-api-subordinate,0.0,0.32
161,charm-interface-nova-cell,0.0,0.15
162,charm-interface-nova-compute,0.0,0.44
163,charm-interface-odl-controller-api,0.0,0.21
164,charm-interface-openstack-ha,0.0,0.23
165,charm-interface-ovsdb-manager,0.0,0.75
166,charm-interface-rabbitmq,0.0,0.23
167,charm-interface-service-control,0.0,0.22
168,charm-ironic,0.0,0.39
169,charm-keystone,0.0,11.98
170,charm-keystone-ldap,0.0,1.82
171,charm-layer-ceph,0.0,0.38
172,charm-layer-ceph-base,0.0,0.4
173,charm-layer-openstack,0.0,1.51
174,charm-layer-openstack-api,0.0,0.62
175,charm-layer-openstack-principle,0.0,0.2
176,charm-nova-lxd,0.0,4.07
177,charm-manila,0.0,2.15
178,charm-manila-generic,0.0,1.59
179,charm-manila-glusterfs,0.0,0.13
180,charm-mistral,0.0,2.0
181,charm-murano,0.0,1.17
182,charm-neutron-api,0.0,11.77
183,charm-neutron-api-genericswitch,0.0,0.55
184,charm-neutron-api-odl,0.0,1.78
185,charm-neutron-dynamic-routing,0.0,2.1
186,charm-neutron-gateway,0.0,10.07
187,charm-neutron-openvswitch,0.0,7.42
188,charm-nova-cell-controller,0.0,1.69
189,charm-nova-cloud-controller,0.0,12.29
190,charm-nova-compute,0.0,12.14
191,charm-nova-compute-proxy,0.0,5.44
192,charm-octavia,0.0,3.92
193,charm-octavia-dashboard,0.0,1.68
194,charm-odl-controller,0.0,1.98
195,charm-openstack-dashboard,0.0,6.43
196,charm-openvswitch-odl,0.0,1.67
197,charm-panko,0.0,0.3
198,charm-percona-cluster,0.0,5.97
199,charm-rabbitmq-server,0.0,8.14
200,charm-specs,0.0,2.59
201,charm-swift-proxy,0.0,6.57
202,charm-swift-storage,0.0,4.85
203,charm-tempest,0.0,2.14
204,charm-trove,0.0,3.9
205,charm-vault,0.0,3.97
206,charms.ceph,0.0,3.25
207,charms.openstack,0.0,4.3
208,cinder,0.0,158.61
209,cinder-specs,0.0,6.23
210,cinder-tempest-plugin,0.0,1.59
211,cinderlib,0.0,5.48
212,cliff,0.0,6.17
213,cloudkitty,0.0,10.65
214,cloudkitty-dashboard,0.0,2.79
215,cloudkitty-specs,0.0,0.94
216,cloudkitty-tempest-plugin,0.0,0.95
217,compute-hyperv,0.0,6.75
218,congress,0.0,33.02
219,congress-dashboard,0.0,3.49
220,congress-specs,0.0,2.04
221,congress-tempest-plugin,0.0,3.86
222,constellations,0.0,0.54
223,contributor-guide,0.0,5.54
224,cookbook-openstack-application-catalog,0.0,0.13
225,cookbook-openstack-bare-metal,0.0,0.76
226,cookbook-openstack-block-storage,0.0,4.85
227,cookbook-openstack-client,0.0,0.18
228,cookbook-openstack-common,0.0,5.14
229,cookbook-openstack-compute,0.0,9.4
230,cookbook-openstack-dashboard,0.0,4.6
231,cookbook-openstack-data-processing,0.0,0.23
232,cookbook-openstack-database,0.0,0.68
233,cookbook-openstack-dns,0.0,1.04
234,cookbook-openstack-identity,0.0,4.27
235,cookbook-openstack-image,0.0,4.04
236,cookbook-openstack-integration-test,0.0,0.96
237,cookbook-openstack-network,0.0,4.79
238,cookbook-openstack-object-storage,0.0,1.32
239,cookbook-openstack-ops-database,0.0,1.57
240,cookbook-openstack-ops-messaging,0.0,1.29
241,cookbook-openstack-orchestration,0.0,1.74
242,cookbook-openstack-telemetry,0.0,1.97
243,cookbook-openstackclient,0.0,0.82
244,coverage2sql,0.0,1.68
245,cue,0.0,8.93
246,cue-dashboard,0.0,1.0
247,cyborg,0.0,11.22
248,cyborg-specs,0.0,2.11
249,deb-alembic,0.0,10.79
250,deb-aodh,0.0,72.31
251,deb-auto-backports,0.0,0.14
252,deb-bandit,0.0,22.89
253,deb-barbican,0.0,50.3
254,deb-ceilometer,0.0,94.97
255,deb-ceilometermiddleware,0.0,3.53
256,deb-cinder,0.0,204.02
257,deb-congress,0.0,43.76
258,deb-designate,0.0,58.18
259,deb-designate-dashboard,0.0,6.29
260,deb-fonts-materialdesignicons-webfont,0.0,1.59
261,deb-fonts-roboto-fontface,0.0,2.19
262,deb-git-review,0.0,6.24
263,deb-glance,0.0,69.74
264,deb-glare,0.0,30.0
265,deb-gnocchi,0.0,64.57
266,deb-heat,0.0,210.26
267,deb-heat-cfntools,0.0,11.85
268,deb-horizon,0.0,160.52
269,deb-ironic,0.0,80.64
270,deb-ironic-inspector,0.0,32.56
271,deb-ironic-ui,0.0,13.33
272,deb-kazoo,0.0,23.3
273,deb-keystone,0.0,155.65
274,deb-liberasurecode,0.0,10.88
275,deb-libisal,0.0,9.94
276,deb-magnum,0.0,115.89
277,deb-manila,0.0,77.32
278,deb-manila-ui,0.0,12.03
279,deb-migrate,0.0,4.31
280,deb-mistral,0.0,61.88
281,deb-msgpack-python,0.0,6.53
282,deb-murano,0.0,66.05
283,deb-murano-agent,0.0,12.23
284,deb-murano-dashboard,0.0,43.23
285,deb-networking-arista,0.0,5.15
286,deb-networking-cisco,0.0,21.3
287,deb-networking-hyperv,0.0,7.72
288,deb-networking-l2gw,0.0,11.85
289,deb-networking-midonet,0.0,30.65
290,deb-networking-mlnx,0.0,52.65
291,deb-networking-nec,0.0,7.4
292,deb-networking-odl,0.0,26.07
293,deb-networking-ovn,0.0,44.52
294,deb-neutron,0.0,233.07
295,deb-neutron-fwaas,0.0,23.07
296,deb-neutron-lbaas,0.0,29.81
297,deb-neutron-taas,0.0,6.93
298,deb-neutron-vpnaas,0.0,21.83
299,deb-nodepool,0.0,23.76
300,deb-nova,0.0,538.19
301,deb-novnc,0.0,12.54
302,deb-openstack-doc-tools,0.0,17.18
303,deb-openstack-meta-packages,0.0,7.32
304,deb-openstack-nose,0.0,0.46
305,deb-openstack-pkg-tools,0.0,0.13
306,deb-openstack-trove,0.0,53.79
307,deb-oslosphinx,0.0,2.14
308,deb-python-aioeventlet,0.0,12.19
309,deb-python-aodhclient,0.0,11.28
310,deb-python-autobahn,0.0,39.24
311,deb-python-automaton,0.0,4.74
312,deb-python-barbicanclient,0.0,11.28
313,deb-python-bashate,0.0,3.07
314,deb-python-cassandra-driver,0.0,88.88
315,deb-python-castellan,0.0,7.15
316,deb-python-ceilometerclient,0.0,11.76
317,deb-python-ceilometermiddleware,0.0,3.53
318,deb-python-cinderclient,0.0,20.05
319,deb-python-cliff,0.0,8.55
320,deb-python-coffin,0.0,3.26
321,deb-python-colander,0.0,9.57
322,deb-python-concurrent.futures,0.0,1.18
323,deb-python-congressclient,0.0,5.62
324,deb-python-cotyledon,0.0,11.5
325,deb-python-couleur,0.0,0.84
326,deb-python-crank,0.0,1.35
327,deb-python-croniter,0.0,1.8
328,deb-python-csscompressor,0.0,1.41
329,deb-python-cursive,0.0,0.67
330,deb-python-daemonize,0.0,2.64
331,deb-python-dcos,0.0,37.2
332,deb-python-ddt,0.0,2.08
333,deb-python-debtcollector,0.0,3.65
334,deb-python-designateclient,0.0,8.22
335,deb-python-dib-utils,0.0,0.79
336,deb-python-diskimage-builder,0.0,49.0
337,deb-python-django-appconf,0.0,2.38
338,deb-python-django-babel,0.0,1.39
339,deb-python-django-bootstrap-form,0.0,2.35
340,deb-python-django-compressor,0.0,14.53
341,deb-python-django-discover-runner,0.0,2.54
342,deb-python-django-formtools,0.0,2.21
343,deb-python-django-openstack-auth,0.0,9.56
344,deb-python-django-overextends,0.0,1.22
345,deb-python-django-pyscss,0.0,3.22
346,deb-python-doc8,0.0,4.12
347,deb-python-dogpile.cache,0.0,4.93
348,deb-python-dogpile.core,0.0,1.47
349,deb-python-editor,0.0,1.61
350,deb-python-eventlet,0.0,19.17
351,deb-python-extras,0.0,0.37
352,deb-python-falcon,0.0,22.32
353,deb-python-fasteners,0.0,11.83
354,deb-python-fixtures,0.0,2.67
355,deb-python-frozendict,0.0,0.7
356,deb-python-fuelclient,0.0,13.46
357,deb-python-funcsigs,0.0,1.41
358,deb-python-functools32,0.0,0.59
359,deb-python-futurist,0.0,5.76
360,deb-python-gabbi,0.0,19.12
361,deb-python-glance-store,0.0,15.05
362,deb-python-glanceclient,0.0,17.49
363,deb-python-gnocchiclient,0.0,16.05
364,deb-python-greenio,0.0,2.71
365,deb-python-hacking,0.0,10.92
366,deb-python-happybase,0.0,4.66
367,deb-python-heatclient,0.0,20.23
368,deb-python-hplefthandclient,0.0,1.38
369,deb-python-httpretty,0.0,6.27
370,deb-python-ironic-inspector-client,0.0,7.07
371,deb-python-ironic-lib,0.0,31.78
372,deb-python-ironicclient,0.0,20.54
373,deb-python-jingo,0.0,1.95
374,deb-python-json-patch,0.0,2.78
375,deb-python-json-pointer,0.0,1.88
376,deb-python-jsonpath-rw,0.0,2.28
377,deb-python-jsonpath-rw-ext,0.0,2.08
378,deb-python-jsonrpclib,0.0,0.82
379,deb-python-jsonschema,0.0,11.94
380,deb-python-k8sclient,0.0,2.77
381,deb-python-kafka,0.0,29.84
382,deb-python-keystoneauth1,0.0,19.69
383,deb-python-keystoneclient,0.0,32.44
384,deb-python-keystonemiddleware,0.0,20.38
385,deb-python-kmip,0.0,12.95
386,deb-python-ldappool,0.0,0.79
387,deb-python-lesscpy,0.0,13.48
388,deb-python-linecache2,0.0,2.5
389,deb-python-magnumclient,0.0,19.71
390,deb-python-manilaclient,0.0,11.98
391,deb-python-memcache,0.0,1.85
392,deb-python-microversion-parse,0.0,0.72
393,deb-python-misaka,0.0,3.96
394,deb-python-mistralclient,0.0,12.29
395,deb-python-monascaclient,0.0,7.12
396,deb-python-monotonic,0.0,1.39
397,deb-python-mox3,0.0,1.05
398,deb-python-multi-key-dict,0.0,1.74
399,deb-python-muranoclient,0.0,20.46
400,deb-python-neutron-lib,0.0,32.0
401,deb-python-neutronclient,0.0,20.51
402,deb-python-nose-exclude,0.0,0.69
403,deb-python-nose-parameterized,0.0,1.26
404,deb-python-nose-timer,0.0,2.09
405,deb-python-nosehtmloutput,0.0,7.0
406,deb-python-novaclient,0.0,37.39
407,deb-python-oauth2client,0.0,16.98
408,deb-python-openstackclient,0.0,62.09
409,deb-python-openstackdocstheme,0.0,10.38
410,deb-python-openstacksdk,0.0,45.41
411,deb-python-os-api-ref,0.0,6.0
412,deb-python-os-apply-config,0.0,3.62
413,deb-python-os-brick,0.0,16.56
414,deb-python-os-client-config,0.0,14.11
415,deb-python-os-cloud-config,0.0,8.26
416,deb-python-os-collect-config,0.0,5.71
417,deb-python-os-net-config,0.0,3.75
418,deb-python-os-refresh-config,0.0,1.43
419,deb-python-os-testr,0.0,5.07
420,deb-python-os-vif,0.0,3.83
421,deb-python-os-win,0.0,17.88
422,deb-python-osc-lib,0.0,18.32
423,deb-python-oslo.cache,0.0,3.99
424,deb-python-oslo.concurrency,0.0,8.78
425,deb-python-oslo.config,0.0,13.07
426,deb-python-oslo.context,0.0,2.43
427,deb-python-oslo.db,0.0,13.19
428,deb-python-oslo.i18n,0.0,4.0
429,deb-python-oslo.log,0.0,10.41
430,deb-python-oslo.messaging,0.0,43.04
431,deb-python-oslo.middleware,0.0,5.43
432,deb-python-oslo.policy,0.0,5.84
433,deb-python-oslo.privsep,0.0,5.87
434,deb-python-oslo.reports,0.0,2.7
435,deb-python-oslo.rootwrap,0.0,3.7
436,deb-python-oslo.serialization,0.0,3.55
437,deb-python-oslo.service,0.0,7.92
438,deb-python-oslo.utils,0.0,7.74
439,deb-python-oslo.versionedobjects,0.0,52.15
440,deb-python-oslo.vmware,0.0,11.18
441,deb-python-oslotest,0.0,3.41
442,deb-python-osprofiler,0.0,6.71
443,deb-python-pager,0.0,2.12
444,deb-python-pbr,0.0,13.34
445,deb-python-pecan,0.0,15.72
446,deb-python-pika-pool,0.0,0.95
447,deb-python-pint,0.0,14.71
448,deb-python-positional,0.0,7.67
449,deb-python-proliantutils,0.0,5.32
450,deb-python-pulp,0.0,1.99
451,deb-python-pycadf,0.0,5.48
452,deb-python-pydot-ng,0.0,0.62
453,deb-python-pydotplus,0.0,0.49
454,deb-python-pyeclib,0.0,9.98
455,deb-python-pyghmi,0.0,9.02
456,deb-python-pygit2,0.0,16.83
457,deb-python-pykmip,0.0,12.63
458,deb-python-pyldap,0.0,1.6
459,deb-python-pymemcache,0.0,6.62
460,deb-python-pymysql,0.0,8.38
461,deb-python-pyngus,0.0,3.67
462,deb-python-pysaml2,0.0,28.19
463,deb-python-pytimeparse,0.0,2.24
464,deb-python-pyvmomi,0.0,7.05
465,deb-python-quantumclient,0.0,17.13
466,deb-python-rcssmin,0.0,3.8
467,deb-python-rednose,0.0,1.14
468,deb-python-reno,0.0,10.64
469,deb-python-requestbuilder,0.0,5.68
470,deb-python-requests-kerberos,0.0,2.43
471,deb-python-requests-mock,0.0,3.19
472,deb-python-requests-unixsocket,0.0,3.37
473,deb-python-requestsexceptions,0.0,0.65
474,deb-python-retrying,0.0,2.32
475,deb-python-rfc3986,0.0,4.24
476,deb-python-rjsmin,0.0,3.8
477,deb-python-rtslib-fb,0.0,6.54
478,deb-python-saharaclient,0.0,13.89
479,deb-python-scciclient,0.0,1.84
480,deb-python-seamicroclient,0.0,0.8
481,deb-python-semantic-version,0.0,3.02
482,deb-python-semver,0.0,2.58
483,deb-python-senlinclient,0.0,27.79
484,deb-python-shotgun,0.0,2.4
485,deb-python-sqlalchemy-utils,0.0,20.92
486,deb-python-steadymark,0.0,1.71
487,deb-python-swiftclient,0.0,12.68
488,deb-python-tackerclient,0.0,7.54
489,deb-python-taskflow,0.0,50.02
490,deb-python-testtools,0.0,15.78
491,deb-python-toml,0.0,3.25
492,deb-python-tooz,0.0,14.13
493,deb-python-tosca-parser,0.0,15.19
494,deb-python-traceback2,0.0,1.88
495,deb-python-trollius,0.0,42.21
496,deb-python-troveclient,0.0,11.36
497,deb-python-tuskarclient,0.0,6.14
498,deb-python-txaio,0.0,10.38
499,deb-python-warlock,0.0,1.55
500,deb-python-watcherclient,0.0,7.39
501,deb-python-weakrefmethod,0.0,0.9
502,deb-python-websocket-client,0.0,8.91
503,deb-python-wrapt,0.0,8.72
504,deb-python-wsgi-intercept,0.0,3.33
505,deb-python-wsme,0.0,10.21
506,deb-python-xstatic,0.0,0.78
507,deb-python-xstatic-angular,0.0,0.5
508,deb-python-xstatic-angular-bootstrap,0.0,0.49
509,deb-python-xstatic-angular-cookies,0.0,0.15
510,deb-python-xstatic-angular-fileupload,0.0,0.22
511,deb-python-xstatic-angular-gettext,0.0,0.26
512,deb-python-xstatic-angular-lrdragndrop,0.0,0.28
513,deb-python-xstatic-angular-mock,0.0,0.15
514,deb-python-xstatic-angular-schema-form,0.0,0.24
515,deb-python-xstatic-bootstrap-datepicker,0.0,0.23
516,deb-python-xstatic-bootstrap-scss,0.0,0.33
517,deb-python-xstatic-bootswatch,0.0,0.35
518,deb-python-xstatic-d3,0.0,0.28
519,deb-python-xstatic-font-awesome,0.0,0.24
520,deb-python-xstatic-hogan,0.0,0.17
521,deb-python-xstatic-jasmine,0.0,0.42
522,deb-python-xstatic-jquery,0.0,0.46
523,deb-python-xstatic-jquery-migrate,0.0,0.1
524,deb-python-xstatic-jquery-ui,0.0,0.53
525,deb-python-xstatic-jquery.bootstrap.wizard,0.0,0.2
526,deb-python-xstatic-jquery.quicksearch,0.0,0.1
527,deb-python-xstatic-jquery.tablesorter,0.0,0.1
528,deb-python-xstatic-jsencrypt,0.0,0.28
529,deb-python-xstatic-magic-search,0.0,0.32
530,deb-python-xstatic-mdi,0.0,0.42
531,deb-python-xstatic-objectpath,0.0,0.12
532,deb-python-xstatic-qunit,0.0,0.1
533,deb-python-xstatic-rickshaw,0.0,0.28
534,deb-python-xstatic-roboto-fontface,0.0,2.59
535,deb-python-xstatic-smart-table,0.0,3.0
536,deb-python-xstatic-spin,0.0,0.15
537,deb-python-xstatic-term.js,0.0,0.25
538,deb-python-xstatic-tv4,0.0,0.24
539,deb-python-xvfbwrapper,0.0,2.67
540,deb-python-yaql,0.0,5.26
541,deb-python-zaqarclient,0.0,9.7
542,deb-rally,0.0,104.56
543,deb-ryu,0.0,45.93
544,deb-sahara,0.0,105.39
545,deb-sahara-dashboard,0.0,15.13
546,deb-senlin,0.0,197.32
547,deb-senlin-dashboard,0.0,20.44
548,deb-spice-html5,0.0,1.92
549,deb-stevedore,0.0,4.6
550,deb-subunit,0.0,4.68
551,deb-swauth,0.0,2.92
552,deb-swift,0.0,77.79
553,deb-swift-bench,0.0,1.22
554,deb-swift-plugin-s3,0.0,8.29
555,deb-tempest,0.0,152.96
556,deb-testresources,0.0,1.51
557,deb-trove,0.0,44.63
558,deb-trove-dashboard,0.0,2.88
559,deb-watcher,0.0,43.0
560,deb-websockify,0.0,9.4
561,deb-zaqar,0.0,37.12
562,deb-zaqar-ui,0.0,7.64
563,debtcollector,0.0,2.3
564,designate,0.0,37.34
565,designate-dashboard,0.0,4.93
566,designate-specs,0.0,0.97
567,designate-tempest-plugin,0.0,4.56
568,devstack-plugin-amqp1,0.0,0.75
569,devstack-plugin-ceph,0.0,3.46
570,devstack-plugin-container,0.0,0.79
571,devstack-plugin-kafka,0.0,0.27
572,devstack-plugin-nfs,0.0,0.52
573,devstack-plugin-pika,0.0,0.2
574,devstack-plugin-zmq,0.0,0.25
575,devstack-tools,0.0,1.06
576,dib-utils,0.0,0.67
577,diskimage-builder,0.0,34.7
578,django-openstack-auth-kerberos,0.0,0.25
579,django_openstack_auth,0.0,5.68
580,docs-specs,0.0,3.3
581,dragonflow,0.0,53.65
582,ec2-api,0.0,11.31
583,ec2api-tempest-plugin,0.0,2.09
584,election,0.0,28.78
585,enterprise-wg,0.0,0.06
586,eslint-config-openstack,0.0,1.71
587,faafo,0.0,1.8
588,fairy-slipper,0.0,3.08
589,freezer,0.0,13.23
590,freezer-api,0.0,7.98
591,freezer-dr,0.0,1.68
592,freezer-specs,0.0,0.66
593,freezer-tempest-plugin,0.0,1.9
594,freezer-web-ui,0.0,3.93
595,fuel-agent,0.0,8.56
596,fuel-astute,0.0,14.13
597,fuel-dev-tools,0.0,1.3
598,fuel-devops,0.0,8.67
599,fuel-docs,0.0,28.18
600,fuel-library,0.0,137.28
601,fuel-main,0.0,83.58
602,fuel-menu,0.0,5.44
603,fuel-mirror,0.0,4.49
604,fuel-nailgun-agent,0.0,2.42
605,fuel-nailgun-extension-cluster-upgrade,0.0,2.74
606,fuel-nailgun-extension-converted-serializers,0.0,0.17
607,fuel-nailgun-extension-iac,0.0,1.93
608,fuel-octane,0.0,28.15
609,fuel-ostf,0.0,17.65
610,fuel-plugin-murano,0.0,1.37
611,fuel-plugin-murano-tests,0.0,1.31
612,fuel-plugins,0.0,3.95
613,fuel-qa,0.0,54.71
614,fuel-specs,0.0,7.52
615,fuel-stats,0.0,3.67
616,fuel-ui,0.0,60.17
617,fuel-upgrade,0.0,2.44
618,fuel-virtualbox,0.0,1.82
619,fuel-web,0.0,138.85
620,futurist,0.0,3.28
621,fuxi,0.0,3.95
622,fuxi-golang,0.0,0.13
623,fuxi-kubernetes,0.0,0.52
624,glance,0.0,51.36
625,glance-specs,0.0,4.35
626,glance_store,0.0,9.72
627,gnocchi,0.0,31.87
628,goal-tools,0.0,14.0
629,governance,0.0,43.21
630,governance-sigs,0.0,2.73
631,governance-uc,0.0,1.59
632,governance-website,0.0,0.42
633,ha-guide,0.0,7.57
634,heat,0.0,123.74
635,heat-agents,0.0,2.19
636,heat-cfntools,0.0,6.58
