,name,pp_percentage,c3
959,puppet-tripleo,0.6,40.3
942,puppet-openstack-integration,0.76,28.32
938,puppet-nova,0.42,21.43
937,puppet-neutron,0.35,18.42
931,puppet-keystone,0.31,13.44
918,puppet-cinder,0.48,12.48
930,puppet-ironic,0.46,9.89
956,puppet-swift,0.32,9.5
925,puppet-glance,0.38,9.33
916,puppet-ceilometer,0.42,8.62
939,puppet-octavia,0.38,8.01
928,puppet-heat,0.48,7.86
914,puppet-aodh,0.43,7.25
922,puppet-designate,0.4,7.13
960,puppet-trove,0.41,6.81
915,puppet-barbican,0.38,6.72
933,puppet-manila,0.49,6.67
929,puppet-horizon,0.17,6.43
927,puppet-gnocchi,0.39,6.31
934,puppet-mistral,0.43,6.02
932,puppet-magnum,0.43,5.85
944,puppet-openstacklib,0.18,5.69
963,puppet-watcher,0.47,5.57
947,puppet-oslo,0.45,5.48
917,puppet-ceph,0.42,5.45
919,puppet-cloudkitty,0.44,5.45
954,puppet-sahara,0.36,5.37
961,puppet-vitrage,0.42,5.19
951,puppet-placement,0.43,5.1
936,puppet-murano,0.38,4.95
958,puppet-tempest,0.44,4.78
964,puppet-zaqar,0.47,4.77
957,puppet-tacker,0.42,4.42
923,puppet-ec2api,0.5,4.35
949,puppet-pacemaker,0.42,3.98
962,puppet-vswitch,0.17,3.97
945,puppet-openstack_extras,0.15,3.89
953,puppet-rally,0.44,3.28
948,puppet-ovn,0.37,3.21
940,puppet-openstack-cookiecutter,0.39,3.13
952,puppet-qdr,0.22,2.66